date, pm25, pm10, o3, no2, so2, co
2017/9/3, , 26, 38, 15, , 2
2017/9/4, , 36, 20, 30, , 6
2017/9/5, , 52, 26, 35, , 9
2017/9/10, , 39, 16, 24, , 4
2017/9/11, , 48, 32, 30, , 7
2017/9/12, , 42, 41, 27, , 4
2017/9/13, , 52, 36, 33, , 6
2017/9/14, , 58, 28, 39, , 11
2017/9/15, , 62, 34, 35, , 13
2017/9/16, , 42, 68, 16, , 2
2017/9/17, , 39, 42, 19, , 5
2017/9/18, , 32, 42, 16, , 3
2017/9/19, , 43, 33, 22, , 3
2017/9/20, , 42, 40, 24, , 3
2017/9/21, , 47, 51, 31, , 6
2017/9/22, , 48, 33, 33, , 7
2017/9/23, , 46, 41, 22, , 8
2017/9/24, , 24, 31, 5, , 1
2017/9/25, , 35, 32, 12, , 2
2017/9/26, , 36, 37, 21, , 3
2017/9/27, , 53, 34, 38, , 6
2017/9/28, , 46, 27, 34, , 6
2017/9/29, , 19, 19, 13, , 1
2017/9/30, , 17, 22, 17, , 4
2017/10/1, , 14, 33, 11, , 4
2017/1/3, , 21, 57, 14, , 7
2017/1/11, , 17, 25, 16, , 6
2015/5/5, , 11, 11, 13, , 4
2015/1/1, , 18, 25, 9, , 7
2015/3/18, , 20, 10, 19, , 5
2015/3/19, , 15, 13, 18, , 5
2025/1/27, , , 20, 7, , 
2023/10/10, , , 18, 13, , 4
2023/10/11, , , 22, 11, , 1
2023/10/12, , , 33, 24, , 7
2023/10/13, , , 1, 25, , 9
2023/10/14, , , 12, 12, , 2
2023/10/15, , , 14, 8, , 1
2023/10/16, , , 25, 7, , 1
2023/10/17, , , 29, 18, , 4
2023/10/18, , , 11, 21, , 4
2023/10/19, , , 19, 15, , 2
2023/10/20, , , 13, 12, , 1
2023/10/21, , , 11, 14, , 1
2023/10/22, , , 17, 8, , 1
2023/10/23, , , 35, 7, , 1
2023/10/24, , , 33, 19, , 4
2023/10/25, , , 36, 26, , 8
2023/10/26, , , 13, 18, , 3
2023/10/27, , , 13, 18, , 3
2023/10/28, , , 22, 17, , 3
2023/10/29, , , 24, 12, , 4
2023/10/30, , , 27, 8, , 4
2023/10/31, , , 21, 8, , 5
2023/11/1, , , 10, 24, , 7
2023/7/2, , , 21, 12, , 3
2023/7/3, , , 19, 12, , 1
2023/7/4, , , 15, 21, , 2
2023/7/5, , , 14, 30, , 7
2023/7/6, , , 12, 36, , 15
2023/7/7, , , 21, 31, , 9
2023/7/8, , , 17, 25, , 11
2023/7/9, , , 24, 17, , 2
2023/7/10, , , 8, 23, , 11
2023/7/11, , , 3, 27, , 9
2023/7/12, , , 11, 23, , 4
2023/7/13, , , 18, 16, , 2
2023/7/14, , , 16, 13, , 1
2023/7/15, , , 15, 15, , 1
2023/7/16, , , 24, 24, , 6
2023/7/17, , , 22, 33, , 8
2023/7/18, , , 28, 19, , 3
2023/7/19, , , 9, 13, , 2
2023/7/20, , , 11, 13, , 1
2023/7/21, , , 14, 21, , 2
2023/7/22, , , 18, 20, , 4
2023/7/23, , , 17, 19, , 6
2023/7/24, , , 26, 28, , 7
2023/7/25, , , 22, 36, , 11
2023/7/26, , , 18, 30, , 13
2023/7/27, , , 19, 25, , 11
2023/7/28, , , 20, 20, , 3
2023/7/29, , , 19, 10, , 2
2023/7/30, , , 13, 9, , 1
2023/7/31, , , 17, 17, , 2
2023/8/1, , , 18, 25, , 2
2023/8/2, , , 20, 37, , 8
2023/8/3, , , 20, 36, , 11
2023/8/4, , , 30, 33, , 4
2023/8/5, , , 36, 29, , 6
2023/8/6, , , 44, 28, , 9
2023/8/7, , , 40, 34, , 11
2023/8/8, , , 28, 11, , 1
2023/8/9, , , 20, 14, , 2
2023/8/10, , , 15, 22, , 3
2023/8/11, , , 21, 23, , 5
2023/8/12, , , 23, 20, , 6
2023/8/13, , , 19, 8, , 1
2023/8/14, , , 15, 14, , 1
2023/8/15, , , 14, 20, , 1
2023/8/16, , , 18, 22, , 3
2023/8/17, , , 20, 27, , 6
2023/8/18, , , 2, 32, , 3
2023/8/19, , , 21, 20, , 3
2023/8/20, , , 20, 16, , 4
2023/8/21, , , 30, 20, , 3
2023/8/22, , , 26, 37, , 6
2023/8/23, , , 31, 31, , 4
2023/8/24, , , 31, 35, , 8
2023/8/25, , , 23, 15, , 2
2023/8/26, , , 10, 9, , 1
2023/8/27, , , 16, 7, , 1
2023/8/28, , , 17, 14, , 1
2023/8/29, , , 11, 17, , 1
2023/8/30, , , 18, 19, , 2
2023/8/31, , , 15, 25, , 5
2023/9/1, , , 21, 32, , 7
2023/9/2, , , 32, 19, , 3
2023/9/3, , , 24, 15, , 3
2023/9/4, , , 26, 24, , 4
2023/9/5, , , 31, 16, , 4
2023/9/6, , , 18, 9, , 1
2023/9/7, , , 19, 11, , 1
2023/9/8, , , 16, 20, , 3
2023/9/9, , , 25, 23, , 5
2023/9/10, , , 21, 15, , 4
2023/9/11, , , 34, 15, , 2
2023/9/12, , , 67, 19, , 
2023/9/13, , , 28, , , 
2023/4/2, , , 15, 5, , 1
2023/4/3, , , 15, 15, , 2
2023/4/4, , , 26, 17, , 2
2023/4/5, , , 26, 20, , 4
2023/4/6, , , 38, 11, , 1
2023/4/7, , , 22, 11, , 2
2023/4/8, , , 8, 7, , 1
2023/4/9, , , 14, 5, , 1
2023/4/10, , , 18, 10, , 1
2023/4/11, , , 21, 18, , 2
2023/4/12, , , 27, 23, , 4
2023/4/13, , , 18, 22, , 4
2023/4/14, , , 23, 24, , 6
2023/4/15, , , 9, 13, , 2
2023/4/16, , , 17, 9, , 1
2023/4/17, , , 27, 17, , 4
2023/4/18, , , 18, 17, , 5
2023/4/19, , , 4, 19, , 5
2023/4/20, , , 8, 17, , 4
2023/4/21, , , 16, 7, , 
2023/4/22, , , 22, 11, , 
2023/4/23, , , 26, 8, , 
2023/4/24, , , 28, 14, , 1
2023/4/25, , , 22, 24, , 4
2023/4/26, , , 20, 27, , 6
2023/4/27, , , 4, 20, , 4
2023/4/28, , , 8, 18, , 3
2023/4/29, , , 7, 13, , 1
2023/4/30, , , 18, 8, , 2
2023/5/1, , , 23, 10, , 2
2023/5/2, , , 28, 16, , 3
2023/5/3, , , 23, 22, , 4
2023/5/4, , , 25, 32, , 5
2023/5/5, , , 24, 32, , 7
2023/5/6, , , 62, 13, , 3
2023/5/7, , , 34, 14, , 3
2023/5/8, , , 39, 30, , 7
2023/5/9, , , 19, 29, , 8
2023/5/10, , , 17, 20, , 4
2023/5/11, , , 6, 16, , 2
2023/5/12, , , 16, 13, , 2
2023/5/13, , , 12, 11, , 1
2023/5/14, , , 17, 12, , 2
2023/5/15, , , 30, 22, , 6
2023/5/16, , , 12, 21, , 6
2023/5/17, , , 13, 14, , 1
2023/5/18, , , 17, 17, , 1
2023/5/19, , , 20, 19, , 2
2023/5/20, , , 23, 23, , 4
2023/5/21, , , 22, 22, , 11
2023/5/22, , , 25, 30, , 11
2023/5/23, , , 10, 31, , 10
2023/5/24, , , 28, 27, , 7
2023/5/25, , , 14, 23, , 4
2023/5/26, , , 14, 24, , 5
2023/5/27, , , 13, 22, , 6
2023/5/28, , , 17, 16, , 7
2023/5/29, , , 19, 9, , 1
2023/5/30, , , 12, 12, , 1
2023/5/31, , , 13, 19, , 4
2023/6/1, , , 1, 18, , 3
2023/6/2, , , 6, 16, , 2
2023/6/3, , , 14, 20, , 5
2023/6/4, , , 24, 20, , 11
2023/6/5, , , 22, 26, , 9
2023/6/6, , , 8, 22, , 5
2023/6/7, , , 7, 33, , 8
2023/6/8, , , 13, 31, , 12
2023/6/9, , , 31, 29, , 9
2023/6/10, , , 23, 26, , 10
2023/6/11, , , 24, 20, , 9
2023/6/12, , , 25, 23, , 5
2023/6/13, , , 20, 12, , 1
2023/6/14, , , 10, 16, , 4
2023/6/15, , , 5, 20, , 7
2023/6/16, , , 2, 13, , 4
2023/6/17, , , 5, 18, , 3
2023/6/18, , , 9, 12, , 1
2023/6/19, , , 20, 13, , 1
2023/6/20, , , 14, 22, , 4
2023/6/21, , , 13, 32, , 9
2023/6/22, , , 16, 36, , 16
2023/6/23, , , 18, 36, , 16
2023/6/24, , , 15, 31, , 15
2023/6/25, , , 26, 26, , 14
2023/6/26, , , 24, 30, , 14
2023/6/27, , , 15, 30, , 13
2023/6/28, , , 17, 30, , 12
2023/6/29, , , 15, 23, , 9
2023/6/30, , , 20, 20, , 2
2023/7/1, , , 17, 17, , 2
2023/1/2, , , 36, 7, , 3
2023/1/29, , , 22, 13, , 4
2023/1/30, , , 9, 15, , 3
2023/2/3, , , 23, 14, , 3
2023/2/4, , , 17, 9, , 2
2023/2/5, , , 19, 9, , 2
2023/2/6, , , 12, 19, , 5
2023/2/7, , , 20, 21, , 4
2023/2/8, , , 33, 14, , 2
2023/2/9, , , 44, 19, , 3
2023/2/10, , , 31, 18, , 3
2023/2/11, , , 10, 23, , 5
2023/2/12, , , 20, 11, , 2
2023/2/13, , , 20, 18, , 3
2023/2/14, , , 18, 18, , 7
2023/2/15, , , 18, 18, , 5
2023/2/16, , , 14, 10, , 4
2023/2/17, , , 23, 17, , 3
2023/2/18, , , 15, 19, , 4
2023/2/22, , , 31, 19, , 3
2023/2/23, , , 18, 22, , 4
2023/2/24, , , 22, 17, , 4
2023/2/25, , , 19, 16, , 4
2023/2/26, , , 21, 12, , 3
2023/2/27, , , 25, 13, , 2
2023/2/28, , , 18, 17, , 4
2023/3/1, , , 40, 18, , 3
2023/3/2, , , 33, 19, , 4
2023/3/3, , , 25, 24, , 4
2023/3/4, , , 17, 11, , 4
2023/3/5, , , 8, 5, , 
2023/3/7, , , 17, 19, , 4
2023/3/8, , , 24, 23, , 4
2023/3/9, , , 14, 29, , 8
2023/3/10, , , 20, 29, , 6
2023/3/11, , , 19, 20, , 4
2023/3/12, , , 10, 12, , 3
2023/3/13, , , 13, 17, , 4
2023/3/14, , , 20, 20, , 4
2023/3/15, , , 23, 13, , 2
2023/3/16, , , 31, 12, , 1
2023/3/17, , , 28, 13, , 2
2023/3/18, , , 38, 13, , 2
2023/3/19, , , 7, 10, , 2
2023/3/20, , , 22, 22, , 5
2023/3/21, , , 35, 20, , 3
2023/3/22, , , 45, 15, , 1
2023/3/23, , , 34, 17, , 2
2023/3/24, , , 32, 21, , 5
2023/3/25, , , 43, 18, , 2
2023/3/26, , , 37, 18, , 3
2023/3/27, , , 10, 11, , 2
2023/3/28, , , 19, 12, , 2
2023/3/29, , , 25, 21, , 4
2023/3/30, , , 31, 26, , 4
2023/3/31, , , 16, 27, , 6
2023/4/1, , , 25, 18, , 8
2022/10/2, , , 25, 9, , 2
2022/10/3, , , 25, 9, , 2
2022/10/4, , , 21, 13, , 2
2022/10/8, , , 22, 20, , 5
2022/11/19, , , 26, 9, , 1
2022/9/26, , , 11, 33, , 4
2022/9/27, , , 13, 26, , 6
2022/9/29, , , 18, 13, , 2
2022/9/30, , , 12, 17, , 3
2022/10/1, , , 19, 19, , 3
2022/3/1, , , 29, , , 2
2022/3/7, , , 32, , , 7
2022/3/24, , , 22, 23, , 5
2022/3/25, , , 19, 28, , 7
2022/3/26, , , 19, 9, , 4
2022/3/27, , , 20, 11, , 3
2022/3/28, , , 26, 17, , 3
2021/1/14, , , 21, 8, , 2
2021/1/15, , , 31, 8, , 3
2021/1/16, , , 14, 15, , 4
2021/1/17, , , 23, 8, , 2
2021/1/18, , , 20, 3, , 1
2021/1/19, , , 31, 8, , 3
2021/1/20, , , 26, 8, , 5
2021/1/21, , , 33, 8, , 3
2021/1/22, , , 36, 9, , 2
2021/1/23, , , 54, 10, , 2
2021/1/24, , , 28, 9, , 2
2021/1/25, , , 24, 6, , 2
2021/1/26, , , 32, 9, , 2
2021/1/27, , , 23, 17, , 4
2021/1/28, , , 24, 15, , 5
2021/1/29, , , 24, 15, , 4
2021/1/30, , , 32, 17, , 7
2021/1/31, , , 37, 11, , 5
2021/2/1, , , 38, 9, , 3
2020/4/1, , , 26, 7, , 1
2020/4/29, , , 22, 14, , 4
2020/4/30, , , 25, 22, , 7
2020/5/1, , , 32, 15, , 5
2020/5/2, , , 22, 9, , 6
2020/5/3, , , 19, 2, , 1
2020/5/4, , , 20, 8, , 3
2020/5/5, , , 22, 17, , 4
2020/5/6, , , 19, 16, , 4
2020/5/9, , , 22, 8, , 2
2020/5/10, , , 23, 8, , 3
2020/5/11, , , 22, 13, , 5
2020/5/12, , , 21, 20, , 6
2020/5/13, , , 15, 18, , 5
2020/5/14, , , 8, 12, , 3
2020/5/15, , , 11, 7, , 1
2020/5/16, , , 18, 9, , 1
2020/5/17, , , 33, 13, , 4
2020/5/18, , , 28, 15, , 4
2020/5/19, , , 20, 9, , 1
2020/5/20, , , 19, 12, , 2
2020/5/21, , , 21, 14, , 5
2020/5/22, , , 13, 14, , 5
2020/5/23, , , 11, 5, , 2
2020/5/24, , , 12, 3, , 1
2020/5/25, , , 19, 5, , 1
2020/5/26, , , 14, 12, , 3
2020/5/27, , , 16, 16, , 3
2020/5/28, , , 19, 12, , 1
2020/5/29, , , 17, 25, , 6
2020/5/30, , , 28, 20, , 11
2020/5/31, , , 32, 16, , 11
2020/6/1, , , 23, 21, , 6
2020/6/2, , , 8, 18, , 6
2020/6/3, , , 12, 14, , 6
2020/3/5, , , 12, 9, , 1
2020/3/6, , , 25, 9, , 1
2020/3/7, , , 30, 7, , 1
2020/3/8, , , 21, 8, , 2
2020/3/9, , , 41, 12, , 3
2020/3/10, , , 43, 13, , 2
2020/3/11, , , 40, 13, , 2
2020/3/12, , , 45, 13, , 2
2020/3/13, , , 37, 17, , 3
2020/3/14, , , 51, 9, , 2
2020/3/15, , , 26, 9, , 3
2020/3/16, , , 22, 13, , 3
2020/3/19, , , 17, 18, , 5
2020/3/20, , , 14, 11, , 3
2020/3/21, , , 18, 5, , 1
2020/3/22, , , 25, 3, , 1
2020/3/23, , , 21, 4, , 1
2017/11/16, , , 42, 16, , 2
2017/11/17, , , 28, 24, , 5
2017/11/19, , , 27, 14, , 3
2017/11/20, , , 20, 5, , 1
2017/11/21, , , 19, 6, , 1
2017/11/30, , , 26, 11, , 1
2017/12/1, , , 24, 12, , 2
2017/12/6, , , 26, 13, , 1
2017/12/10, , , 21, 11, , 1
2017/12/11, , , 38, 15, , 3
2017/7/21, , , 15, 30, , 11
2017/7/22, , , 34, 20, , 9
2017/7/23, , , 26, 12, , 3
2017/7/24, , , 16, 29, , 8
2017/7/25, , , 22, 30, , 10
2017/7/26, , , 23, 31, , 10
2017/7/27, , , 22, 23, , 4
2017/7/28, , , 18, 27, , 3
2017/7/29, , , 22, 22, , 3
2017/7/30, , , 22, 12, , 2
2017/7/31, , , 14, 26, , 7
2017/8/3, , , 8, 23, , 6
2017/8/4, , , 10, 16, , 2
2017/8/5, , , 18, 9, , 1
2017/8/6, , , 24, 8, , 1
2017/1/10, , , 35, 19, , 15
2016/10/2, , , 18, 4, , 
2016/10/3, , , 24, 18, , 
2016/10/4, , , 14, 18, , 
2016/10/5, , , 12, 11, , 
2016/10/6, , , 22, 13, , 
2016/10/7, , , 22, 13, , 
2016/10/8, , , 7, 15, , 
2016/10/9, , , 26, 11, , 
2016/10/10, , , 26, 9, , 
2016/10/11, , , 21, 15, , 
2016/10/12, , , 25, 14, , 
2016/10/13, , , 38, 19, , 
2016/10/14, , , 19, 24, , 
2016/10/15, , , 16, 18, , 
2016/10/16, , , 39, 17, , 
2016/10/17, , , 39, 27, , 
2016/10/18, , , 37, 22, , 
2016/10/19, , , 36, 26, , 6
2016/10/20, , , 44, 15, , 3
2016/10/21, , , 46, 14, , 3
2016/10/22, , , 11, 10, , 2
2016/10/23, , , 12, 7, , 1
2016/10/24, , , 26, 16, , 3
2016/10/25, , , 39, 25, , 7
2016/10/26, , , 5, 19, , 4
2016/10/27, , , 26, 19, , 4
2016/10/28, , , 20, 15, , 3
2016/10/29, , , 15, 7, , 1
2016/10/30, , , 21, 5, , 1
2016/10/31, , , 19, 20, , 4
2016/11/1, , , 29, 24, , 4
2016/11/2, , , 23, 13, , 2
2016/11/3, , , 30, 16, , 3
2016/11/4, , , 14, 15, , 2
2016/11/5, , , 10, 11, , 2
2016/11/6, , , 15, 14, , 3
2016/11/7, , , 23, 14, , 3
2016/11/8, , , 1, 22, , 4
2016/11/9, , , 47, 23, , 4
2016/11/10, , , 22, 22, , 4
2016/11/11, , , 23, 27, , 5
2016/11/12, , , 28, 12, , 2
2016/11/13, , , 15, 9, , 1
2016/11/14, , , 11, 11, , 1
2016/11/15, , , 8, 8, , 2
2016/11/16, , , 13, 17, , 4
2016/11/17, , , 16, 24, , 4
2016/11/18, , , 26, 14, , 2
2016/11/19, , , 12, 8, , 1
2016/11/20, , , 16, 7, , 1
2016/11/21, , , 8, 23, , 2
2016/11/22, , , 29, 22, , 2
2016/11/23, , , 34, 17, , 4
2016/11/24, , , 16, 19, , 3
2016/11/25, , , 41, 15, , 2
2016/11/26, , , 40, 17, , 3
2016/11/27, , , 47, 16, , 4
2016/11/28, , , 38, 24, , 6
2016/11/29, , , 26, 14, , 3
2016/11/30, , , 12, 10, , 2
2016/12/1, , , 12, 11, , 2
2016/12/2, , , 12, 18, , 3
2016/12/3, , , 41, 16, , 3
2016/12/4, , , 25, 5, , 1
2016/12/5, , , 23, 12, , 2
2016/12/6, , , 16, 19, , 3
2016/12/7, , , 30, 33, , 10
2016/12/8, , , 29, 25, , 4
2016/12/9, , , 26, 17, , 3
2016/12/10, , , 25, 16, , 4
2016/12/11, , , 26, 6, , 4
2016/12/12, , , 10, 10, , 4
2016/12/13, , , 8, 19, , 4
2016/12/14, , , 16, 15, , 3
2016/12/15, , , 13, 9, , 1
2016/12/16, , , 11, 10, , 2
2016/12/17, , , 13, 11, , 2
2016/12/18, , , 30, 15, , 4
2016/12/19, , , 30, 22, , 6
2016/12/20, , , 12, 22, , 4
2016/12/21, , , 19, 24, , 5
2016/12/22, , , 23, 21, , 4
2016/12/23, , , 25, 21, , 4
2016/12/24, , , 40, 14, , 2
2016/12/25, , , 34, 13, , 4
2016/12/26, , , 40, 18, , 3
2016/12/27, , , 38, 26, , 4
2016/12/28, , , 36, 26, , 5
2016/12/29, , , 40, 11, , 3
2016/12/30, , , 37, 4, , 3
2016/12/31, , , 31, 10, , 3
2017/1/1, , , 29, 2, , 5
2017/1/2, , , 2, , , 
2016/7/2, , , 10, 20, , 16
2016/7/3, , , 10, 18, , 13
2016/7/4, , , 16, 24, , 10
2016/7/5, , , 9, 27, , 14
2016/7/6, , , 9, 20, , 8
2016/7/7, , , 13, 23, , 6
2016/7/8, , , 7, 25, , 11
2016/7/9, , , 11, 27, , 9
2016/7/10, , , 17, 25, , 24
2016/7/11, , , 18, 30, , 20
2016/7/12, , , 15, 28, , 11
2016/7/13, , , 17, 28, , 9
2016/7/14, , , 13, 34, , 17
2016/7/15, , , 15, 33, , 13
2016/7/16, , , 17, 23, , 9
2016/7/17, , , 7, 13, , 5
2016/7/18, , , 11, 16, , 5
2016/7/19, , , 21, 21, , 4
2016/7/20, , , 9, 18, , 4
2016/7/21, , , 9, 18, , 3
2016/7/22, , , 10, 16, , 3
2016/7/23, , , 10, 18, , 4
2016/7/24, , , 17, 19, , 9
2016/7/25, , , 18, 30, , 12
2016/7/26, , , 36, 25, , 11
2016/7/27, , , 10, 21, , 5
2016/7/28, , , 11, 15, , 3
2016/7/29, , , 13, 14, , 3
2016/7/30, , , 5, 17, , 4
2016/7/31, , , 15, 16, , 5
2016/8/1, , , 21, 22, , 10
2016/8/2, , , 9, 17, , 7
2016/8/3, , , 3, 15, , 3
2016/8/4, , , 8, 20, , 5
2016/8/5, , , 14, 28, , 7
2016/8/6, , , 11, 24, , 
2016/8/7, , , 18, 16, , 
2016/8/8, , , 13, 15, , 
2016/8/9, , , 9, 28, , 
2016/8/10, , , 1, 13, , 
2016/8/11, , , 6, 16, , 
2016/8/12, , , 4, 15, , 
2016/8/13, , , 10, 25, , 
2016/8/14, , , 19, 24, , 26
2016/8/16, , , 10, 22, , 8
2016/8/17, , , 9, 20, , 8
2016/8/18, , , 23, 19, , 4
2016/8/19, , , 9, 21, , 5
2016/8/20, , , 18, 17, , 5
2016/8/21, , , 3, 8, , 2
2016/8/22, , , 14, 11, , 1
2016/8/23, , , 13, 10, , 4
2016/8/24, , , 13, 4, , 3
2016/8/25, , , 20, , , 11
2016/8/26, , , 20, , , 13
2016/8/27, , , 27, , , 12
2016/8/28, , , 31, , , 15
2016/8/29, , , 28, , , 11
2016/8/30, , , 25, , , 8
2016/8/31, , , 27, , , 6
2016/9/1, , , 12, , , 7
2016/9/9, , , 8, 13, , 
2016/9/10, , , 19, 10, , 
2016/9/11, , , 34, 8, , 
2016/9/12, , , 38, 29, , 
2016/9/13, , , 25, 32, , 
2016/9/14, , , 25, 26, , 
2016/9/15, , , 24, 21, , 
2016/9/16, , , 31, 14, , 
2016/9/17, , , 17, 16, , 
2016/9/18, , , 40, 18, , 
2016/9/19, , , 45, 22, , 
2016/9/20, , , 23, 14, , 
2016/9/21, , , 14, 11, , 
2016/9/22, , , 22, 11, , 
2016/9/23, , , 22, 16, , 
2016/9/24, , , 32, 13, , 
2016/9/25, , , 18, 7, , 
2016/9/26, , , 20, 13, , 
2016/9/27, , , 19, 13, , 
2016/9/28, , , 27, 19, , 
2016/9/29, , , 31, 23, , 
2016/9/30, , , 31, 9, , 
2016/10/1, , , 22, 7, , 
2016/4/2, , , 39, , , 6
2016/4/3, , , 60, , , 6
2016/4/4, , , 45, , , 6
2016/4/5, , , 38, , , 5
2016/4/6, , , 35, , , 8
2016/4/7, , , 44, , , 9
2016/4/8, , , 33, 12, , 9
2016/4/9, , , 40, 23, , 10
2016/4/10, , , 44, 14, , 12
2016/4/11, , , 50, 12, , 8
2016/4/12, , , 18, 15, , 8
2016/4/14, , , 18, 23, , 10
2016/4/15, , , 44, 33, , 14
2016/4/16, , , 28, 21, , 11
2016/4/17, , , 68, 19, , 15
2016/4/18, , , 36, 21, , 13
2016/4/19, , , 23, 18, , 12
2016/4/20, , , 19, 24, , 14
2016/4/21, , , 23, 19, , 16
2016/4/22, , , 25, 22, , 14
2016/4/23, , , 37, 20, , 6
2016/4/24, , , 25, 20, , 12
2016/4/25, , , 22, 24, , 11
2016/4/26, , , 19, 17, , 7
2016/4/27, , , 13, 10, , 7
2016/4/28, , , 6, 14, , 5
2016/4/29, , , 14, 15, , 6
2016/4/30, , , 9, 17, , 6
2016/5/1, , , 19, 8, , 5
2016/5/2, , , 19, 16, , 7
2016/5/3, , , 15, 20, , 8
2016/5/4, , , 28, 22, , 15
2016/5/5, , , 25, 20, , 15
2016/5/6, , , 19, 21, , 15
2016/5/7, , , 20, 28, , 8
2016/5/8, , , 16, 13, , 3
2016/5/9, , , 18, 26, , 6
2016/5/10, , , 14, 19, , 7
2016/5/11, , , 9, 15, , 3
2016/5/12, , , 7, 13, , 2
2016/5/13, , , 7, 12, , 1
2016/5/14, , , 8, 9, , 2
2016/5/15, , , 15, 11, , 3
2016/5/16, , , 19, 15, , 4
2016/5/17, , , 15, 21, , 1
2016/5/18, , , 8, 20, , 3
2016/5/19, , , 1, 16, , 1
2016/5/20, , , 3, 18, , 1
2016/5/21, , , 13, 20, , 1
2016/5/22, , , 3, 14, , 4
2016/5/23, , , 10, 11, , 2
2016/5/24, , , 5, 12, , 2
2016/5/25, , , 10, 13, , 3
2016/5/26, , , 11, 13, , 3
2016/5/27, , , 21, 17, , 5
2016/5/28, , , 10, 10, , 3
2016/5/29, , , 12, 9, , 3
2016/5/30, , , 15, 16, , 6
2016/5/31, , , 5, 16, , 6
2016/6/1, , , 7, 18, , 8
2016/6/2, , , 3, 15, , 4
2016/6/3, , , 6, 15, , 7
2016/6/4, , , 4, 17, , 7
2016/6/5, , , , 11, , 8
2016/6/6, , , 3, 13, , 7
2016/6/7, , , 2, 15, , 5
2016/6/8, , , 2, 17, , 7
2016/6/17, , , 13, 31, , 27
2016/6/18, , , 13, 21, , 23
2016/6/19, , , 17, 12, , 9
2016/6/20, , , 23, 13, , 9
2016/6/21, , , 7, 13, , 9
2016/6/22, , , 6, 14, , 10
2016/6/23, , , 6, 20, , 15
2016/6/24, , , 7, 19, , 10
2016/6/25, , , 13, 13, , 9
2016/6/26, , , 14, 11, , 9
2016/6/27, , , 21, 21, , 11
2016/6/28, , , 11, 25, , 14
2016/6/29, , , 11, 22, , 17
2016/6/30, , , 8, 25, , 17
2016/7/1, , , 7, 22, , 17
2016/1/5, , , 18, 6, , 6
2016/1/6, , , 48, 9, , 7
2016/1/7, , , 49, 12, , 8
2016/1/8, , , 37, 13, , 10
2016/1/9, , , 56, 10, , 10
2016/1/10, , , 17, 6, , 7
2016/1/11, , , 12, 8, , 5
2016/1/12, , , 9, 6, , 6
2016/1/16, , , 2, 4, , 1
2016/1/17, , , 10, 1, , 
2016/1/18, , , 23, 5, , 1
2016/1/19, , , 10, 4, , 1
2016/1/20, , , 12, 4, , 1
2016/1/21, , , 9, 3, , 1
2016/1/22, , , 19, 4, , 1
2016/1/23, , , 14, 3, , 2
2016/1/24, , , 45, 5, , 3
2016/1/25, , , 28, 7, , 4
2016/1/26, , , 37, 10, , 3
2016/1/27, , , 27, 14, , 3
2016/1/28, , , 37, 6, , 2
2016/1/29, , , 33, 8, , 3
2016/1/30, , , 15, 8, , 3
2016/1/31, , , 21, 10, , 3
2016/2/1, , , 28, 19, , 5
2016/2/2, , , 34, 13, , 1
2016/2/3, , , 60, 9, , 1
2016/2/4, , , 60, 7, , 4
2016/2/5, , , 36, 11, , 5
2016/2/6, , , 31, 6, , 3
2016/2/7, , , 25, 2, , 2
2016/2/8, , , 30, 4, , 3
2016/2/9, , , 29, 5, , 4
2016/2/10, , , 23, 7, , 5
2016/2/11, , , 20, 5, , 3
2016/2/12, , , 15, 5, , 2
2016/2/15, , , 36, 15, , 6
2016/2/16, , , 22, 14, , 5
2016/2/17, , , 17, 24, , 6
2016/2/18, , , 15, 22, , 7
2016/2/19, , , 21, 45, , 11
2016/2/20, , , 26, 21, , 5
2016/2/21, , , 32, 14, , 4
2016/2/22, , , 22, 18, , 5
2016/2/23, , , 12, , , 4
2016/2/24, , , 18, , , 5
2016/2/25, , , 13, , , 4
2016/2/26, , , 23, , , 4
2016/2/27, , , 23, , , 3
2016/2/28, , , 17, , , 4
2016/2/29, , , 16, , , 1
2016/3/1, , , 10, , , 4
2016/3/2, , , 5, , , 5
2016/3/3, , , 12, , , 4
2016/3/4, , , 8, , , 4
2016/3/5, , , 12, , , 2
2016/3/6, , , 19, , , 3
2016/3/7, , , 22, , , 4
2016/3/8, , , 30, , , 3
2016/3/9, , , 46, , , 4
2016/3/10, , , 25, , , 7
2016/3/11, , , 5, , , 5
2016/3/12, , , 6, , , 3
2016/3/13, , , 25, , , 1
2016/3/14, , , 20, , , 2
2016/3/15, , , 24, , , 2
2016/3/16, , , 34, , , 2
2016/3/17, , , 18, , , 2
2016/3/18, , , 27, , , 3
2016/3/19, , , 37, , , 3
2016/3/20, , , 61, , , 2
2016/3/21, , , 37, , , 3
2016/3/22, , , 30, , , 8
2016/3/23, , , 20, , , 6
2016/3/24, , , 19, , , 4
2016/3/25, , , 29, , , 3
2016/3/26, , , 23, , , 4
2016/3/27, , , 18, , , 3
2016/3/28, , , 22, , , 6
2016/3/29, , , 21, , , 5
2016/3/30, , , 42, , , 5
2016/3/31, , , 33, , , 7
2016/4/1, , , 46, , , 5
2015/10/12, , , 36, 5, , 10
2015/10/13, , , 24, 11, , 10
2015/10/14, , , 36, 17, , 11
2015/10/15, , , 28, 27, , 13
2015/10/16, , , 31, 28, , 17
2015/10/17, , , 21, 6, , 8
2015/10/18, , , 15, 3, , 5
2015/10/19, , , 24, 10, , 6
