ds,yhat,yhat_lower,yhat_upper
2014-01-02,37.74907746332337,9.80567319543703,65.5751260347559
2014-01-03,40.73971302976857,13.579754911101654,70.7060782197415
2014-01-04,42.299315517432085,12.895399621048693,71.02612649486255
2014-01-05,40.59655070632682,12.558074154140842,68.55421400783983
2014-01-06,38.822178498845894,9.844559267332384,67.7598952652492
2014-01-07,43.14842427050687,13.298571224064094,71.50778442675804
2014-01-08,47.610101109276314,18.785599621367204,77.42975359894771
2014-01-09,46.70413174736257,17.77251995462203,74.72092373818747
2014-01-10,47.356833313835835,18.18301590046294,76.9831301665494
2014-01-11,46.49998770495997,18.551658159127008,74.75869985970236
2014-01-12,43.227550847978286,14.42577454784074,73.71579647183846
2014-01-13,40.67500737712095,15.021715049088426,68.5655958989395
2014-01-14,44.543442195355524,16.439641887345772,73.85545000420656
2014-01-15,48.77522146769262,18.541554473296472,76.38601697509253
2014-01-16,48.30197211507122,23.288806532861283,76.92353548378968
2014-01-17,50.38614843950716,23.638907753238406,78.53522208267104
2014-01-18,51.512778637977874,21.354137365116276,80.10558074816949
2014-01-19,49.58764411513127,21.435892314357638,76.84847495502832
2014-01-20,46.69411212030438,18.0370826324865,74.76934910913977
2014-01-21,48.552173582775,18.608911556099578,77.4665294095047
2014-01-22,50.284325183430056,21.054240436981797,80.77741337132673
2014-01-23,48.239976974604225,18.446486771611827,77.58944239138015
2014-01-24,50.20028467222939,20.37067646991444,79.97861562273816
2014-01-25,51.937266098794524,25.525434884192034,80.85465847609143
2014-01-26,50.12806567074346,22.84334156289427,78.05269381193374
2014-01-27,46.20307061481318,16.43960822900286,74.33209578833821
2014-01-28,46.268184899051384,15.797112591885886,74.40542076125826
2014-01-29,46.35333956925611,20.86699146820337,74.28729789336658
2014-01-30,43.316226064970124,14.28340107447308,70.43451656070577
2014-01-31,44.67463871720746,16.015663887380075,72.40182492537365
2014-02-01,45.702315059656016,16.66565176941836,74.18617020672066
2014-02-02,43.168988830642256,11.545446131523695,73.86659015731267
2014-02-03,39.39909058605369,12.285794115333594,68.8760478067478
2014-02-04,41.45793672748022,12.254791884780168,70.89947646980349
2014-02-05,45.35784055110595,18.56767896517465,73.67825990470652
2014-02-06,46.61192255617497,18.57536433980397,75.20684239979903
2014-02-07,50.84603022180693,24.2293931678884,78.71329418640958
2014-02-08,52.21281164218858,21.74855971409437,78.48599890101879
2014-02-09,47.85405113193847,17.032891803728948,75.70482908526635
2014-02-10,41.52160096457917,14.347986725322006,68.94661892350098
2014-02-11,41.61244073563566,10.892132512793209,69.95415457868208
2014-02-12,44.55276584944633,15.742310839190582,73.36405036115153
2014-02-13,45.485693247089635,17.03844406768405,73.25902491450077
2014-02-14,49.67328616863174,19.914120926803353,77.77827111558781
2014-02-15,51.46813652737648,22.883353921079433,78.88268789414617
2014-02-16,48.493145808780234,19.578417360951992,75.34547177260924
2014-02-17,44.48681075301266,15.642439056205877,72.59370413171254
2014-02-18,46.94513271302939,18.970500072480036,74.28480700237864
2014-02-19,51.02782935151654,22.491171977663473,79.18040190071976
2014-02-20,51.27412530836348,24.458515532795264,79.46511656202155
2014-02-21,53.58860247340365,25.62543524089344,84.12733899656723
2014-04-10,52.52220698131553,25.599103768067106,81.78363056600757
2014-04-11,54.072459112463854,26.84492952375441,80.15724776136649
2014-04-12,53.32205801275171,24.729147427580866,83.38855787267072
2014-04-13,49.5298186689812,22.17434160161015,79.65485823383241
2014-04-14,46.50578027026009,19.562262462996316,76.7958522905467
2014-04-15,50.54254877492813,23.133806816481272,77.27032036553227
2014-04-16,55.65670688444941,26.815697630535944,79.98443812349103
2014-04-17,56.282390039695215,26.74651913725225,84.46147466423807
2014-04-18,59.076438662257296,28.79302032770353,87.12235473142769
2014-04-19,60.48411028960944,33.724874469775415,89.1169595614386
2014-04-20,58.876200280592954,30.756026522762077,86.73981578594093
2014-04-21,56.80218964671078,29.19834651000619,88.21105376488028
