ds,yhat,yhat_lower,yhat_upper
2014-01-02,44.214961155066185,16.7568306085667,72.66716318480374
2014-01-03,46.406364772879726,18.536947200486377,74.67225555319209
2014-01-04,47.42306955854996,19.05911694208009,76.79714577476352
2014-01-05,44.942968876983926,17.761933781545892,73.85177249674837
2014-01-06,41.56331949616646,14.88168619090389,70.97100436202976
2014-01-07,43.412812448143896,14.730492116821493,71.69416743487416
2014-01-08,46.18673117031746,17.078865346969167,73.92449785764204
2014-01-09,45.89448656422673,18.856822430397028,74.56377966446169
2014-01-10,48.41873620758082,20.76241599596576,77.61688134415772
2014-01-11,49.720360549000866,21.849404170729226,77.44300043024631
2014-01-12,47.470884791931375,18.476266964261594,74.54577843093273
2014-01-13,44.26258270098203,17.365178682547143,72.69405061232433
2014-01-14,46.22067378584037,18.166296720847846,76.12086028526183
2014-01-15,49.03856825094674,20.264872927256157,78.70571015037709
2014-01-16,48.725447130430965,19.9128980734143,76.32637077662038
2014-01-17,51.16538374823392,24.25137168696011,80.22366012389966
2014-01-18,52.32227938560432,24.419138329270602,81.67157858960664
2014-01-19,49.87220305768313,21.353240503119615,77.37684290343083
2014-01-20,46.41337393388327,18.27362866856299,73.5836897482599
2014-01-21,48.078201197524976,19.464840503666668,77.6751531618774
2014-01-22,50.568340017338464,22.100648780994895,79.51811827868997
2014-01-23,49.902056157469644,19.77057670361091,79.55495745503299
2014-01-24,51.973111154026974,23.260368934077448,81.24645796941512
2014-01-25,52.75544724808784,25.751559565148845,81.51108636183326
2014-01-26,49.93526863102277,21.931210415391096,75.23374777504206
2014-01-27,46.1207643546452,15.823505104014716,75.52310503288314
2014-01-28,47.453894498091756,19.55523634127319,77.32992129353003
2014-01-29,49.64520485471961,19.645024763190065,77.62731708878322
2014-01-30,48.72096887455851,20.42087117036645,77.72938569694146
2014-01-31,50.58187445253792,20.130614424059136,78.83466665219004
2014-02-01,51.207539718749345,22.410851169897622,78.48414263179467
2014-02-02,48.288458530008185,18.788022167794328,77.06160214713927
2014-02-03,44.4356242307545,15.644911666623818,70.81139777037089
2014-02-04,45.79225548507205,14.739717851505034,72.44650589706359
2014-02-05,48.06859059833066,20.30593824604079,77.65253654693865
2014-02-06,47.289049144532825,20.141546819877945,75.63857217818689
2014-02-07,49.35097750538664,23.112003891421615,77.74859824123133
2014-02-08,50.229260468315495,20.089815592412563,76.80426001972812
2014-02-09,47.60839661539288,19.68782336489124,76.40141695332181
2014-02-10,44.092282239180285,14.424526488884668,72.0708027201948
2014-02-11,45.816123005928205,16.92636383160127,75.49958416558749
2014-02-12,48.481434589574945,17.983879596402627,76.79764391506114
2014-02-13,48.10342543355835,20.4267885337316,75.18140350102723
2014-02-14,50.56997228564382,20.373914820185878,78.57564764179297
2014-02-15,51.84646455707018,21.871513587565133,79.53796051939848
2014-02-16,49.60810917638817,19.786702770229244,77.17885741797235
2014-02-17,46.44993481204892,18.208638612912992,75.5128735467371
2014-02-18,48.49890917924968,20.05042876846253,76.50889148371255
