ds,yhat,yhat_lower,yhat_upper
2014-01-02,44.214961155066185,14.28274979334255,72.70872848169043
2014-01-03,46.406364772879726,18.04689903738815,75.27744951114961
2014-01-04,47.42306955854996,20.456407009562966,75.63449629539402
2014-01-05,44.942968876983926,16.78706017611001,74.28934031339963
2014-01-06,41.56331949616646,13.714677944035685,70.85858558042608
2014-01-07,43.412812448143896,14.70243348789065,71.89908018869946
2014-01-08,46.18673117031746,18.666486972769047,73.41190273936131
2014-01-09,45.89448656422673,17.056103763875637,75.7887606093485
2014-01-10,48.41873620758082,19.072751446955227,75.53451706910919
2014-01-11,49.720360549000866,21.01768519053532,78.75091014053544
2014-01-12,47.470884791931375,19.26813710493424,77.86857327766654
2014-01-13,44.26258270098203,15.294836902549774,71.82659977471296
2014-01-14,46.22067378584037,17.645775908537225,74.6704897285908
2014-01-15,49.03856825094674,18.799042476358274,77.02231404701108
2014-01-16,48.725447130430965,20.209883365910073,77.76812164685069
2014-01-17,51.16538374823392,22.487802671450527,80.65991540958439
2014-01-18,52.32227938560432,23.36099219220039,82.0940628760148
2014-01-19,49.87220305768313,19.42092336661958,79.57749174203441
2014-01-20,46.41337393388327,18.007888982900973,74.55547210379076
2014-01-21,48.078201197524976,20.85911978308163,76.21747394951858
2014-01-22,50.568340017338464,20.851697712785963,79.00886669555587
2014-01-23,49.902056157469644,20.39655628995969,79.6040562629713
2014-01-24,51.973111154026974,24.224781559997062,81.15691745694645
2014-01-25,52.75544724808784,24.700535364478796,81.10120014610962
2014-01-26,49.93526863102277,21.855939014294528,78.74356131485877
2014-01-27,46.1207643546452,17.234120428981097,73.75852669896513
2014-01-28,47.453894498091756,18.839595654091987,78.76029690992875
2014-01-29,49.64520485471961,22.454521383179475,78.07032898468695
2014-01-30,48.72096887455851,22.257478854625933,76.66488861933152
2014-01-31,50.58187445253792,19.322294486972684,79.70104351198341
2014-02-01,51.207539718749345,22.256750579306644,82.05875242477211
2014-02-02,48.288458530008185,18.357135533150895,76.71365668594578
2014-02-03,44.4356242307545,15.54492849378626,72.45844994038711
2014-02-04,45.79225548507205,16.165697086796058,73.3225889672485
2014-02-05,48.06859059833066,20.51779613662341,77.22246555163339
2014-02-06,47.289049144532825,19.632363865010255,76.4263824078113
2014-02-07,49.35097750538664,21.87317385832839,76.32644308264003
2014-02-08,50.229260468315495,20.331833926054244,76.88528956398876
2014-02-09,47.60839661539288,21.773332245654867,76.49284972519848
2014-02-10,44.092282239180285,16.072985620782887,74.57290968981525
2014-02-11,45.816123005928205,17.370824400513794,74.51301193724377
2014-02-12,48.481434589574945,19.348281764152425,76.99806181374524
2014-02-13,48.10342543355835,20.913186474705817,76.85261528625138
2014-02-14,50.56997228564382,22.51961648621401,78.18665568398329
2014-02-15,51.84646455707018,25.175789326215625,80.05323921221103
2014-02-16,49.60810917638817,21.461055976868547,77.441593677388
2014-02-17,46.44993481204892,16.643183510292832,75.37065661930598
2014-02-18,48.49890917924968,19.782270552997883,76.44988118404403
2014-02-19,51.44912565119586,22.400134571461404,80.27227857639183
2014-02-20,51.30934795943202,21.30245935489162,80.01871864841534
2014-02-21,53.96211999463189,26.29878651784335,82.28064511999953
2014-04-10,50.80170930205557,21.34604643882753,80.40971033173012
2014-04-11,53.52662173780386,25.053245378056495,83.49955907773895
2014-04-12,55.06414164802916,23.919412897120324,82.67347648424403
2014-04-13,53.092311245233205,26.892163901415547,81.19544084938431
2014-04-14,50.20929887849844,20.824460404972577,76.38595156168456
2014-04-15,52.54532911351628,23.92647819087788,80.7114293109947
2014-04-16,55.797679566497465,27.081033946705528,83.90774943369657
2014-04-17,55.97804023873945,25.96158953898526,83.40217682426778
2014-04-18,58.97144909913896,30.174677289527672,86.9655069407893
2014-04-19,60.74108344862128,32.93926191886173,89.89989425673873
2014-04-20,58.96050245588634,30.46372677671784,87.36818967772868
2014-04-21,56.22358354787623,27.291508158492864,82.03638877308485
2014-04-22,58.65657012405461,28.128607763295083,88.855637714513
2014-04-23,61.95319037231058,32.09994012805018,90.38019698991359
2014-04-24,62.1221392029866,34.60462529561547,90.7937283378485
2014-04-25,65.04613310330953,35.93170436809529,94.32501109479699
2014-04-26,66.68681340867461,38.09427160885598,97.18296818179158
2014-04-27,64.717089379314,37.14349474238317,92.63371720687765
2014-04-28,61.73115993136425,31.19764027912828,90.18566641662851
2014-04-29,63.85662795195529,36.263249235911125,93.64389771546873
2014-04-30,66.78966385252947,40.34117512292354,96.62501807634908
2014-05-01,66.54250778119791,36.239775293382664,95.10027813148594
2014-05-02,69.00251832547272,39.99328024533399,96.35338499181663
2014-05-03,70.13704193614251,41.727280843142566,96.71498002109885
2014-05-04,67.6256939608709,40.32345093106948,95.02649645502576
2014-05-05,64.07029044047286,35.80584512681612,90.1055797444981
2014-05-06,65.60684572027372,38.693101075583684,95.07233656341454
2014-05-07,67.94059446276219,39.43146798520584,95.67862928570935
2014-05-08,67.09333018936672,40.22170728742841,95.14223366137388
2014-05-09,68.96227160683262,40.243615469236055,96.70795587021784
2014-05-10,69.5247350098372,42.1137182824309,97.58620297929122
2014-05-11,66.47020824497628,36.11977538691671,93.30989658802525
2014-05-12,62.41007040305464,35.49002502644525,90.35634101348235
2014-05-13,63.48937758971999,36.20185480388852,93.0727500513182
2014-05-14,65.42167879906071,33.37759718626342,93.62963902357716
